0CAA,EDP  ACCTG                                                                                                    
5ACN,CIVIL LAW WRKMN COM PUB LAW                                                                                   
5ACX,CIVIL LAW OTHER     PUB LAW                                                                                   
5ACY,CIVIL LAW PUBLIC LAW                                                                                          
5AXY,CIVIL LAW OTHER                                                                                               
5AYY,CIVIL LAW                                                                                                     
5AZZ,5AZZ-UNKNOWN                                                                                                  
5BAY,MILITARY JUSTICE MIL CRIM                                                                                     
5BBO,5BBO-UNKNOWN                                                                                                  
5BHY,5BHY-UNKNOWN                                                                                                  
5BXY,MIL JUSTICE OTHER                                                                                             
5BYY,MILITARY JUSTICE                                                                                              
5EAA,LLM   AIR & SPACE LAW                                                                                         
5EAB,LLM   CON LAW                                                                                                 
5EAC,LLM   CYBER LAW                                                                                               
5EAD,LLM   ENVIRO LAW                                                                                              
5EAE,LLM   GOVT PROC LAW                                                                                           
5EAF,LLM   INT L LAW                                                                                               
5EAG,LLM   LABOR LAW                                                                                               
5EAH,LLM   MILITARY JUSTICE                                                                                        
5EAI,LLM   NAT SEC LAW                                                                                             
5EAY,ENVIRONMENTAL LAW                                                                                             
5HMG,5HMG-UNKNOWN                                                                                                  
5Y  ,5Y  -UNKNOWN                                                                                                  
5YFY,5YFY-UNKNOWN                                                                                                  
5YYY,LAW                                                                                                           
5YZZ,5YZZ-UNKNOWN                                                                                                  
5ZYY,5ZYY-UNKNOWN                                                                                                  
6  9,6  9-UNKNOWN                                                                                                  
607,607 -UNKNOWN                                                                                                  
642B,642B-UNKNOWN                                                                                                  
65,65  -UNKNOWN                                                                                                  
6AAY,ALGEBRA BOOLEAN                                                                                               
6ABY,ALGEBRA COMBINATORIAL ANAL                                                                                    
6ACY,ALGEBRA DIFFERENTIAL                                                                                          
6ADY,ALGEBRA FIELDS RINGS                                                                                          
6AEY,ALGEBRA GROUPS GENERLZIN                                                                                      
6AFY,ALGEBRA HOMOLOGICAL                                                                                           
6AGY,ALGEBRA LINEAR  MATRIX THRY                                                                                   
6AHY,ALGEBRA POLYNOMIALS                                                                                           
6AIY,ALGEBRA REPRESENTATION THRY                                                                                   
6AXY,ALGEBRA OTHER                                                                                                 
6AYY,ALGEBRA                                                                                                       
6AZZ,6AZZ-UNKNOWN                                                                                                  
6BAY,ANL/FUN ANL BANACH SPACES                                                                                     
6BBY,ANL/FUN ANL CALC OF VARI                                                                                      
6BCY,ANL/FUN ANL CONVEXITY INEQL                                                                                   
6BDY,ANL/FUN ANL DIFF/FUNCT EQU                                                                                    
6BEY,ANL/FUN ANL COMPLEX VARIBLS                                                                                   
6BFY,ANL/FUN ANL REAL VARIABLES                                                                                    
6BGY,ANL/FUN ANL SEV COMPLX VAR                                                                                    
6BHY,ANL/FUN ANL HILBERT SPACES                                                                                    
6BIY,ANL/FUN ANL INT INTGR DIFF                                                                                    
6BJY,ANL/FUN ANL INTGRL TRNSFRM                                                                                    
6BKY,ANL/FUN ANL LIE GROUPS                                                                                        
6BLY,ANL/FUN ANL OPTNTL CALCULUS                                                                                   
6BMY,ANL/FUN ANL ORD DIFF EQU                                                                                      
6BNY,ANL/FUN ANL PART DIFF EQU                                                                                     
6BOY,ANL/FUN ANL POT THRY SUBHAR                                                                                   
6BPY,ANL/FUN ANL SERIES SUMNBLTY                                                                                   
6BQY,ANL/FUN ANL SPECIAL FUNCTN                                                                                    
6BRY,ANL/FUN ANL TRIG SRIES/INT                                                                                    
6BXY,ANL/FUN ANL OTHER                                                                                             
6BYY,ANALYSIS AND FUNCT ANALYSIS                                                                                   
6BZZ,6BZZ-UNKNOWN                                                                                                  
6CAY,GEOM AFFINE                                                                                                   
6CBY,GEOM ALGEBRAIC                                                                                                
6CCY,GEOM COMPLEX MANIFOLES                                                                                        
6CDY,GEOM CONVX DOMNS EXTRM PROB                                                                                   
6CEY,GEOM DIFF  TENSOR ANALYSIS                                                                                    
6CFY,GEOM EUCLIDEON GEO                                                                                            
6CGY,GEOM FINITE GEO                                                                                               
6CHY,GEOM FOUNDATIONS OF GEO                                                                                       
6CIY,GEOM INTERGAL GOE                                                                                             
6CJY,GEOM PROJ NON EUCL GEO                                                                                        
6CKY,GEOM REIMANNIAN GOE                                                                                           
6CXY,GEOM OTHER                                                                                                    
6CYY,GEOMETRY                                                                                                      
6DAY,LOGIC APPLICATIONS                                                                                            
6DBY,LOGIC FOUNDATION OF MATH                                                                                      
6DCY,LOGIC INTUITIONISM                                                                                            
6DDY,LOGIC LATTICES                                                                                                
6DEY,LOGIC NORMAL AND SYMBOLIC                                                                                     
6DFY,LOGIC ORDER  TOTAL AND PART                                                                                   
6DGY,LOGIC RECURSIVE FUNCTIONS                                                                                     
6DHY,LOGIC SET THEORY                                                                                              
6DXY,LOGIC OTHER                                                                                                   
6DYY,LOGIC AND FOUNDATIONS                                                                                         
6E1Y,6E1Y-UNKNOWN                                                                                                  
6EAY,MATH OF RESRC ACTIVITY ANAL                                                                                   
6EBY,MATH OF RESRC ACTURARY MATH                                                                                   
6ECY,MATH OF RESRC ASTRONOMY                                                                                       
6EDY,MATH OF RESRC BIO METR/STAT                                                                                   
6EEY,MATH OF RESRC CELEST MECHAN                                                                                   
6EFY,MATH OF RESRC CONTROL SYSTM                                                                                   
6EGY,MATH OF RESRC CRYTOGRAPHY                                                                                     
6EHY,RESRC DYNAMIC PROGRAMMING                                                                                     
6EIY,RESRC ECONOMETRICS                                                                                            
6EJY,MATH OF RESRC GAME THEORY                                                                                     
6EKY,MATH OF RESRC INF COM THY                                                                                     
6ELY,MATH OF RESRC LOGIST INVN                                                                                     
6EMY,MATH OF RESRC OPERTN RSCH                                                                                     
6ENY,MATH OF RESRC PSYCHOMETEICS                                                                                   
6EOY,MATH OF RESRC WPN SYSTM EVL                                                                                   
6EXY,MATH OF RESRC OTHER                                                                                           
6EYY,MATHEMATICS OF RESOURCE USE                                                                                   
6EZZ,6EZZ-UNKNOWN                                                                                                  
6FAY,NUMBER THEORY ALGEBRAIC                                                                                       
6FBY,NUMBER THEORY ANALYTIC                                                                                        
6FCY,NUMBER THEORY DIOPH APPROX                                                                                    
6FDY,NUMBER THEORY ELEMENTARY                                                                                      
6FEY,NUMBER THEORY GEOM OF NUMBR                                                                                   
6FXY,NUMBER THEORY OTHER                                                                                           
6FYY,NUMBER THEORY                                                                                                 
6GAY,NUM METHDS ALGORITHM CONSTR                                                                                   
6GCY,NUM METHDS DIFFRNC FUN EQU                                                                                    
6GDY,6GDY-UNKNOWN                                                                                                  
6GEA,6GEA-UNKNOWN                                                                                                  
6GEY,6GEY-UNKNOWN                                                                                                  
6GFY,NUM METHDS EIGENVALUES R&R                                                                                    
6GGY,NUM METHDS ERROR ANALYSIS                                                                                     
6GHY,NUM METHDS ITERATION                                                                                          
6GIY,NUM METHDS INT + INTR DIFF                                                                                    
6GJY,NUM METHDS INTERPOL APPROX                                                                                    
6GKY,NUM METHDS LIN EQU  MATRCES                                                                                   
6GLY,NUM METHDS LINEAR PROGRAMNG                                                                                   
6GMY,NUM METHDS NOMOGRAPHY TABLS                                                                                   
6GNY,NUM METHDS NUM DIFF QUAD                                                                                      
6GOY,NUM METHDS NUM SOL ORD DIFF                                                                                   
6GPY,NUM METHDS NUM SOL PRT DIFF                                                                                   
6GXY,NUM METHDS OTHER                                                                                              
6GYY,NUMERICAL METHDS AND COMPUT                                                                                   
6GZZ,6GZZ-UNKNOWN                                                                                                  
6HAY,PROB APPLICATIONS                                                                                             
6HBY,PROB FOUNDATIONS                                                                                              
6HCY,PROB LIMIT THEORMS                                                                                            
6HDY,PROB MARKOV PROCESSES                                                                                         
6HEY,PROB STOCHASTIC PROCESSES                                                                                     
6HFY,PROB THEORY OF GENRTING FUN                                                                                   
6HXY,PROB OTHER                                                                                                    
6HYY,PROBABILITY                                                                                                   
6IAY,STAT ANALYTICAL                                                                                               
6IBY,STAT DECISN THRY SEQ ANAL                                                                                     
6ICY,STAT DESGN ANAL OF EXPERM                                                                                     
6IDY,STAT ESTIM+TESTING PARAMET                                                                                    
6IEY,STAT MULTIVARIANT ANALYSIS                                                                                    
6IFY,STAT NON PARAMETRIC METHODS                                                                                   
6IGY,STAT QUALITY CONTROL                                                                                          
6IHY,STAT SAMPLING TECHNIQUES                                                                                      
6IIY,STAT SURVEY METHODS                                                                                           
6IJY,STAT THEORY OF STAT INFEREN                                                                                   
6IKY,STAT TIME SERIES ANALYSIS                                                                                     
6IRY,RELIABLTY MAINTABLTY                                                                                          
6IXY,STAT OTHER                                                                                                    
6IYY,STATISTICS                                                                                                    
6JAY,TOP ALGEBRAIC                                                                                                 
6JBY,TOP FIBRE BUNDLES+SPARES                                                                                      
6JCY,TOP GRAPHS                                                                                                    
6JDY,TOP MANIFOLDS                                                                                                 
6JEY,TOP POINT SET TOPOLOGY                                                                                        
6JFY,TOP TOPOLOGICAL ALGEBRA                                                                                       
6JXY,TOP OTHER                                                                                                     
6JYY,TOPOLOGY                                                                                                      
6Y  ,6Y  -UNKNOWN                                                                                                  
6YYY,MATHEMATICS                                                                                                   
6YZZ,6YZZ-UNKNOWN                                                                                                  
6ZYY,6ZYY-UNKNOWN                                                                                                  
6ZZZ,6ZZZ-UNKNOWN                                                                                                  
702Y,702Y-UNKNOWN                                                                                                  
716,716 -UNKNOWN                                                                                                  
72YY,72YY-UNKNOWN                                                                                                  
741,741 -UNKNOWN                                                                                                  
761U,761U-UNKNOWN                                                                                                  
769E,769E-UNKNOWN                                                                                                  
7AAA,ALL SCI BAS BIO BIOCHEMISTR                                                                                   
7AAB,ALL SCI BAS BIO BIO ENGINER                                                                                   
7AAC,ALL SCI BAS BIO BIONICS                                                                                       
7AAD,ALL SCI BAS BIO BIOPHYSICS                                                                                    
7AAE,ALL SCI BAS BIO MICROBIOLOG                                                                                   
7AAF,ALL SCI BAS BIO PHYSIO OPT                                                                                    
7AAG,ALL SCI BAS BIO PHYSIOL HUM                                                                                   
7AAH,AUDIOLOGY                                                                                                     
7AAI,ALL SCI PROF SV BIO ENGINEER  BSC                                                                             
7AAJ,ALL SCI PROF SV PUBLIC HEALTH  BSC                                                                            
7AAK,SPEECH PATHOLOGY                                                                                              
7AAX,ALL SCI BAS BIO OTHER                                                                                         
7AAY,ALL SCI BASIC BIOMEDICAL                                                                                      
7AB0,7AB0-UNKNOWN                                                                                                  
7ABA,ALL SCI PROF SV AERO PHYSI                                                                                    
7ABB,ALL SCI PROF SV BACTERIOLO                                                                                    
7ABC,ALL SCI PROF SV BIOMETRICS                                                                                    
7ABD,ALL SCI PROF SV CL LAB MGT                                                                                    
7ABE,ALL SCI PROF SV CLIN PSYCH                                                                                    
7ABF,ALL SCI PROF SV DIETETICS                                                                                     
7ABG,ALL SCI PROF SV IND HYGIEN                                                                                    
7ABH,ALL SCI PROF SV MED ENTOMO                                                                                    
7ABI,ALL SCI PROF SV MYCOLOGY                                                                                      
7ABJ,ALL SCI PROF SV NUC HLTH                                                                                      
7ABK,ALL SCI PROF SV OCC THERAP                                                                                    
7ABL,ALL SCI PROF SV OPTOMETRY                                                                                     
7ABM,ALL SCI PROF SV PARASITOLOG                                                                                   
7ABN,ALL SCI PROF SV PHARMACOLOG                                                                                   
7ABO,ALL SCI PROF SV PHYS THERAP                                                                                   
7ABP,ALL SCI PROF SV PSY SOC WRK                                                                                   
7ABQ,ALL SCI PROF SV ENV ENGINEER                                                                                  
7ABR,ALL SCI PROF SV SEROLOGY                                                                                      
7ABS,ALL SCI PROF SV SPC PHARMCO                                                                                   
7ABT,ALL SCI PROF SV TOXICOLOGY                                                                                    
7ABU,ALL SCI PROF SV VIROLOGY                                                                                      
7ABV,ALL SCI PROF SV PHARMACY                                                                                      
7ABW,PODIATRY                                                                                                      
7ABX,ALL SCI PROF SV OTHER                                                                                         
7ABY,ALL SCI PROFESSIONAL SERVCS                                                                                   
7ACY,PHYSICIAN ASSISTANT                                                                                           
7AEA,EXERCISE & SPORT SCIENCE                                                                                      
7AEX,EXERCISE SCIENCE  OTHER                                                                                       
7AEY,EXERCISE SCIENCE                                                                                              
7AGY,7AGY-UNKNOWN                                                                                                  
7AXY,7AXY-UNKNOWN                                                                                                  
7AYY,ALLIED SCIENCES                                                                                               
7AZZ,7AZZ-UNKNOWN                                                                                                  
7BAA,DNTL SCI GEN DNTY CRN/BRDG                                                                                    
7BAB,DNTL SCI GEN DNTY ORAL DIAG                                                                                   
7BAM,DNTL SCI GEN DNTY MASTERS                                                                                     
7BAX,DNTL SCI GEN DNTY OTHER                                                                                       
7BAY,DNTL SCI GEN DENTISTRY                                                                                        
7BAZ,7BAZ-UNKNOWN                                                                                                  
7BBM,DNTL SCI ORAL PATHOLOGY MASTERS                                                                               
7BBY,DNTL SCI ORAL PATHOLOGY                                                                                       
7BCX,DNTL SCI ORAL SURGERY OTHER                                                                                   
7BCY,DNTL SCI ORAL SURGERY                                                                                         
7BDM,DNTL SCI ORTHODONTICS MASTERS                                                                                 
7BDY,DNTL SCI ORTHODONTICS                                                                                         
7BEM,DNTL SCI PERIODONTICS MASTERS                                                                                 
7BEX,PERIODONTICS MASTERS                                                                                          
7BEY,DNTL SCI PERIODONTICS                                                                                         
7BFM,DNTL SCI PROSTHODONTICS MASTERS                                                                               
7BFX,DNTL SCI PROSTHODONTICS OTHER                                                                                 
7BFY,DNTL SCI PROSTHODONTICS                                                                                       
7BGM,DNTL SCI ENDODONTIC MASTERS                                                                                   
7BGY,DNTL SCI ENDODONTICS                                                                                          
7BHY,DENTAL MATERIALS                                                                                              
7BIM,DNTL SCI PUBLIC HEALTH MASTERS                                                                                
7BJM,DNTL SCI DENTAL RADIOLOGY MASTERS                                                                             
7BJY,DNTL SCI DENTAL RADIOLOGY                                                                                     
7BKM,DNTL SCI PEDIATRIC DENTISTRY MASTERS                                                                          
7BKY,DNTL SCI PEDIATRIC DENTISTRY                                                                                  
7BXY,DNTL SCI OTHER                                                                                                
7BYY,DENTAL SCIENCE                                                                                                
7BZZ,7BZZ-UNKNOWN                                                                                                  
7CAA,HOSP ADM ADM ADMIN SERVICE                                                                                    
7CAB,HOSP ADM BUS OFFICE ADM                                                                                       
7CAD,7CAD-UNKNOWN                                                                                                  
7CAE,HOSP ADM ADM HOSP PLANNING                                                                                    
7CAF,HOSP ADM ADM HSP SVS ADMIN                                                                                    
7CAG,HOSP ADM ADM MED MATERIEL                                                                                     
7CAH,HOSP ADM ADM MED RECORDS                                                                                      
7CAI,HOSP ADM ADM PERSONNEL ADM                                                                                    
7CAJ,HOSP ADM ADM PUB RELATIONS                                                                                    
7CAX,HOSP ADM ADM OTHER                                                                                            
7CAY,HOSP ADM ADMINISTRATION                                                                                       
7CXY,HOSP ADM OTHER                                                                                                
7CYY,HOSPITAL ADMINISTRATION                                                                                       
7CZZ,7CZZ-UNKNOWN                                                                                                  
7D3Y,7D3Y-UNKNOWN                                                                                                  
7DAY,MED/SURG ANESTHESIOLOGY                                                                                       
7DBY,MED/SURG COLON/RECTAL SURG                                                                                    
7DCY,MED/SURG DERMATOLOGY                                                                                          
7DDA,FAMILY PHYSICIAN                                                                                              
7DDB,MED/SURG CRITICAL CARE MEDICINE                                                                               
7DDC,MED/SURG NUCLEAR MEDICINE                                                                                     
7DDD,MED/SURG INFECTIOUS DISEASE                                                                                   
7DDE,MED/SURG GENETICS                                                                                             
7DDY,MED/SURG GENERAL PRACTICE PHYSICIAN                                                                           
7DDZ,7DDZ-UNKNOWN                                                                                                  
7DEA,CARDIOTHORACIC SURGERY                                                                                        
7DEB,COLO RECTAL SURGERY                                                                                           
7DEC,PEDIATRIC SURGERY                                                                                             
7DED,SURGICAL ONCOLOGY                                                                                             
7DEF,VASCULAR SURGERY                                                                                              
7DEG,MED/SURG TRAUMA CRITICAL CARE                                                                                 
7DEX,7DEX-UNKNOWN                                                                                                  
7DEY,MED/SURG GENERAL SURGERY                                                                                      
7DFY,MED/SURG GERIATRICS                                                                                           
7DGA,MED/SURG INTL MED ALLERGY                                                                                     
7DGB,MED/SURG INTL MED CARDIO D1                                                                                   
7DGC,MED/SURG INTL MED ENDOCRINO                                                                                   
7DGD,OTOLRYNOGOLGY TECHN                                                                                           
7DGE,MED/SURG INTL MED HEMTOLOGT                                                                                   
7DGF,MED/SURG INTL MED PULMONARY                                                                                   
7DGG,MED/SURG INTL MED RHEUMATOL                                                                                   
7DGH,MED SURG/NEPHROLOGY                                                                                           
7DGI,EMERGENCY MEDICINE                                                                                            
7DGJ,SPORTS MEDICINE                                                                                               
7DGX,MED/SURG INTL MED OTHER                                                                                       
7DGY,MED/SURG INTERNAL MEDICINE                                                                                    
7DGZ,7DGZ-UNKNOWN                                                                                                  
7DHY,MED/SURG NEUROLOGY                                                                                            
7DIY,MED/SURG NEUROSURGERY                                                                                         
7DJY,MED/SURG OBSTET & GYNECOLOG                                                                                   
7DKY,MED/SURG OPTHALMOLOGY                                                                                         
7DLY,MED/SURG ORTHOPEDIC SURGERY                                                                                   
7DLZ,7DLZ-UNKNOWN                                                                                                  
7DMY,MED/SURG OTORHINOLARYNGOLOG                                                                                   
7DNA,MED/SURG PATH CLINICAL                                                                                        
7DNB,MED/SURG PATH FORENSIC                                                                                        
7DNC,MED/SURG PATH HEMATOLOGY                                                                                      
7DND,MED/SURG PATH SURGICAL                                                                                        
7DNE,MED/SURG PATH HEMM ONCOLOGY                                                                                   
7DNF,MED/SURG HEMATOLOGY ONCOLOGY                                                                                  
7DNX,MED/SURG PATH OTHER                                                                                           
7DNY,MED/SURG PATHOLOGY                                                                                            
7DNZ,MED/SURG GASTROENTEROLOGY                                                                                     
7DOA,MED/SURG PED ALLERGY                                                                                          
7DOB,MED/SURG PED CADIOLOGY                                                                                        
7DOX,MED/SURG PED OTHER                                                                                            
7DOY,MED/SURG PEDIATRICS                                                                                           
7DPY,MED/SURG PHYS & REHAB MED                                                                                     
7DQY,MED/SURG PLASTIC SURGERY                                                                                      
7DRA,MED/SURG PREV MED AEROSPACE                                                                                   
7DRB,MED/SURG PREV MED IMMUNOLOG                                                                                   
7DRC,MED/SURG PREV MED OCCUPATIO                                                                                   
7DRD,MED/SURG PREV MED PREVENTIV                                                                                   
7DRE,MED/SURG PREV MED PUB HEALT                                                                                   
7DRX,MED/SURG PREV MED OTHER                                                                                       
7DRY,MED/SURG PREVENTIVE MEDICIN                                                                                   
7DRZ,7DRZ-UNKNOWN                                                                                                  
7DSA,MED/SURG PSYCH PEDIATRIC                                                                                      
7DSX,MED/SURG PSYCH OTHER                                                                                          
7DSY,MED/SURG PSYCHIATRY                                                                                           
7DTY,MED/SURG RADIOBIOLOGY                                                                                         
7DUA,MED/SURG RADIOL DIAGNOSTIC                                                                                    
7DUB,MED/SURG RADIOTHERAPY                                                                                         
7DUX,MED/SURG RADIOL OTHER                                                                                         
7DUY,MED/SURG RADIOLOGY                                                                                            
7DVY,MED/SURG THORACIC SURGERY                                                                                     
7DWY,MED/SURG UROLOGY                                                                                              
7DXY,MED/SURG MED/SURG OTHER                                                                                       
7DYY,MEDICINE & SURGERY                                                                                            
7DZY,MED/OSTEOPATHIC MEDICINE                                                                                      
7DZZ,7DZZ-UNKNOWN                                                                                                  
7EAA,ANESTHESIA                                                                                                    
7EAB,CARDIO VASCULAR NURSING                                                                                       
7EAC,CLINICAL RESEARCH NURSING                                                                                     
7EAD,GERIATRIC NURSING                                                                                             
7EAE,OBSTETRIC NURSING                                                                                             
7EAF,MATERNAL CHILD NURSING                                                                                        
7EAG,ADULT HEALTH NURSING                                                                                          
7EAH,MIDWIFERY                                                                                                     
7EAI,NURSING SCIENCE                                                                                               
7EAJ,PEDIATRIC NURSING                                                                                             
7EAK,PSYCHIATRIC NURSING                                                                                           
7EAL,PUBLIC HEALTH NURSING                                                                                         
7EAM,REHABILITATION NURSING                                                                                        
7EAN,RESPIRATORY NURSING                                                                                           
7EAO,PERINATAL NURSING                                                                                             
7EAP,NURSE SUPERVISION                                                                                             
7EAQ,ONCOLOGY NURSING                                                                                              
7EAR,COMMUNITY HEALTH NURSING                                                                                      
7EAS,NUR CLINICAL/BUS ADMIN                                                                                        
7EAU,PSYCHIATRIC AND MENTAL HEALTH NURSE PRACTITIONER                                                              
7EAX,NUR SCI CLIN OTHER                                                                                            
7EAY,CLINICIAN NURSE                                                                                               
7EBA,NURSING EDUCATION                                                                                             
7EBB,NUR SCI NUR ADM PERS MGMT                                                                                     
7EBC,NUR SCI NUR ADM WARD MGMT                                                                                     
7EBD,NUR/MASTER BUS ADMIN                                                                                          
7EBE,NUR HEALTH CARE ADMIN                                                                                         
7EBF,WMNS HLTH CAR NRS PRACT                                                                                       
7EBG,FAMILY NURS PRACTITIONER                                                                                      
7EBH,PERIOPERATIVE NURSING                                                                                         
7EBI,NURSE UTILIZATION MGT                                                                                         
7EBJ,NURSE MANAGED CARE                                                                                            
7EBK,NURSE INFORMATICS                                                                                             
7EBL,PEDIATRIC NURSE PRACTNR                                                                                       
7EBM,HEALTH PROMOTION                                                                                              
7EBN,NUR COMMUNITY SYS MGT                                                                                         
7EBS,HEALTH INFORMATICS                                                                                            
7EBT,NUR CRITICAL CARE                                                                                             
7EBU,NUR EMERGENCY TRAUMA                                                                                          
7EBX,NUR SCI NUR ADM OTHER                                                                                         
7EBY,NUR SCI NURSING ADMINISTRAT                                                                                   
7EBZ,7EBZ-UNKNOWN                                                                                                  
7ECY,PUBLIC HEALTH                                                                                                 
7EIY,7EIY-UNKNOWN                                                                                                  
7EXY,NUR SCI NURS SCIENCE OTHER                                                                                    
